,dates,MGVR_1,MGVR_2,MGVR_3,MGVR_4,MGVR_5,MGVR_6,MGVR_7,MGVR_8,MGVR_9,MGVR_10
1618,2020-07-26 10:37:54+00:00,220.65901766798794,,,,,,,,,
1619,2020-07-28 11:31:00+00:00,218.54878380543536,234.0122822115252,271.685823976333,236.2304134692107,238.45879794284255,257.94678040175046,315.5570735217003,334.45589102093123,349.2154984045204,384.1285900284004
1620,2020-08-02 11:30:57+00:00,232.74746100236175,245.13435177512366,284.4863011811501,251.04323089483117,250.7241575934623,266.72519141776235,321.61115907381435,342.1634051567395,363.76021492607515,398.1575764739836
1621,2020-08-03 11:08:41+00:00,217.7379530440929,229.25098890606705,264.985318812935,232.77319784265472,233.0784471332736,255.68829461107129,313.1130975508744,331.6013946922683,346.01392340420637,374.28831954894906
1622,2020-08-04 10:31:10+00:00,230.82427826823218,230.17960632437138,,,,,,382.78815313575194,396.52110180097947,417.20921390010466
1623,2020-08-04 11:21:04+00:00,230.08911950718496,243.54555455310387,285.6067121089594,251.9738586554713,248.7585485820115,267.84036256156344,326.0800948842439,348.1003753799659,362.6185282498052,396.2222451735994
1624,2020-08-07 11:31:00+00:00,220.49498973317642,235.56120647708104,279.33968351808494,258.0608965149133,264.70015230009153,289.1336812493178,322.6004780161217,,,
1625,2020-08-09 11:21:02+00:00,234.43503441532403,248.5726106403321,294.92455867604764,282.8247119098347,288.62385706785017,308.4169527078271,353.2894995489298,377.3077099136305,407.05259910651324,433.55691961011956
1626,2020-08-11 10:36:54+00:00,225.0728961967085,235.10704366843484,285.46904974524057,252.8382926185667,252.50833553081196,270.8560560445393,327.62836999515787,345.23426135692785,363.50668088518785,399.6011353535278
1627,2020-08-14 11:21:04+00:00,229.33913381647343,242.1731605379809,284.7047304668455,248.18465255850433,249.36920164603703,272.5443154684559,321.8399496106072,342.4191169719241,360.9449757909669,394.2642483322633
1628,2020-08-17 11:31:00+00:00,223.85338644142604,236.5587961985878,279.24194021350627,243.16536820310066,244.32959023278985,259.5141232327449,316.9924988947552,336.6773477011605,355.10010117819235,390.3008920748744
1629,2020-08-19 11:08:47+00:00,228.7736235880218,241.81502905750753,289.6921755821818,258.797390203801,251.88249424711867,272.58417990991376,342.9591927121261,346.0195561990244,373.5374846229996,397.89696567394014
1630,2020-08-19 11:21:02+00:00,236.54288630385597,250.61082292391984,293.07303079680776,264.9620461545554,257.715710051474,280.03928165551036,339.4292570965008,357.37452385629905,368.57230614570096,403.48415581575466
1631,2020-08-20 10:30:09+00:00,228.55569610234716,240.673601187791,289.63030806355647,274.6844739197271,276.54359728713985,299.8988368968252,344.6705941635547,378.105172335839,407.55301931199335,419.0505955067554
1632,2020-08-22 11:30:57+00:00,235.89619458850618,252.25037728378794,293.86160375836806,287.9949565498328,298.3920123993677,311.7196398637905,332.37451371280173,426.92515795742145,415.2391763759645,431.7546034181719
